time,x,y,z
1713291530209, -0.22500001, 7.8900003, 4.9489503
1713291530214, -0.25995, 7.8499503, 5.1649504
1713291530216, -0.37095, 7.82595, 5.3440504
1713291530217, -0.42600003, 7.79895, 5.47305
1713291530289, -0.44700003, 7.7800503, 5.6340003
1713291530293, -0.45195, 7.7920504, 5.8159504
1713291530294, -0.46395, 7.82595, 5.85405
1713291530295, -0.41595003, 7.9069505, 5.82105
1713291530370, -0.423, 7.9360504, 5.94
1713291530374, -0.48105, 7.9170003, 6.2299504
1713291530375, -0.55305004, 7.905, 6.3229504
1713291530376, -0.45405003, 7.8810005, 6.0379505
1713291530451, -0.36105, 7.8829503, 5.6719503
1713291530455, -0.351, 7.85895, 5.466
1713291530456, -0.42105, 7.7920504, 5.4970503
1713291530457, -0.39900002, 7.7830505, 5.6340003
1713291530531, -0.31305, 7.8160505, 5.6340003
1713291530535, -0.41595003, 7.8499503, 5.71005
1713291530536, -0.555, 7.8810005, 5.7390003
1713291530537, -0.48600003, 7.8829503, 5.6670003
1713291530538, -0.37995002, 7.866, 5.6340003
1713291530617, -0.36795002, 7.8949504, 5.6410503
1713291530627, -0.41595003, 7.9020004, 5.63595
1713291530630, -0.54105, 7.8829503, 5.7660003
1713291530633, -0.684, 7.8540006, 5.8450503
1713291530695, -0.52905005, 7.8520503, 5.77005
1713291530704, -0.28695002, 7.9170003, 5.7850504
1713291530707, -0.46905002, 7.9240503, 5.8039503
1713291530709, -0.57195, 7.90005, 5.775
1713291530775, -0.56205004, 7.8949504, 5.6940002
1713291530782, -0.52095, 7.85895, 5.5960503
1713291530784, -0.63195, 7.8300004, 5.5360503
1713291530787, -0.67200005, 7.7899504, 5.6239505
1713291530857, -0.38295, 7.8300004, 5.7010503
1713291530865, -0.34905002, 7.87095, 5.66295
1713291530868, -0.60300004, 7.87095, 5.6269503
1713291530872, -0.411, 7.9290004, 5.68905
1713291530936, -0.30405003, 7.9500003, 5.7559505
1713291530948, -0.44700003, 7.9740005, 5.754
1713291530951, -0.38700002, 7.97205, 5.6509504
1713291530956, -0.15795001, 8.022, 5.6239505
1713291530960, -0.093, 8.082001, 5.6940002
1713291531018, -0.30405003, 7.998, 5.5690503
1713291531029, -0.44700003, 7.9090505, 5.6190004
1713291531034, -0.36600003, 7.87305, 5.7660003
1713291531038, -0.45405003, 7.85895, 5.8060503
1713291531098, -0.462, 7.8829503, 5.655
1713291531107, -0.49305, 7.8949504, 5.715
1713291531112, -0.47400004, 7.833, 5.6460004
1713291531115, -0.42600003, 7.8540006, 5.6980505
1713291531179, -0.51195, 7.8520503, 5.80905
1713291531188, -0.74700004, 7.8040504, 5.87295
1713291531192, -0.91395, 7.7779503, 5.952
1713291531196, -0.89295006, 7.84005, 5.9430003
1713291531260, 0.55695003, 8.364, 6.1530004
1713291531272, 1.4239501, 8.773951, 5.4570003
1713291531276, 1.98405, 9.159, 3.4690502
1713291531279, 2.94405, 9.54195, 0.273
1713291531340, 3.5380502, 8.841001, -0.55005
1713291531347, 2.1090002, 7.4740505, 3.285
1713291531349, -2.53695, 6.5400004, 8.895
1713291531351, -5.8320003, 5.9149504, 12.237
1713291531353, -6.13395, 5.39295, 14.703001
1713291531370, -5.3359504, 5.0890503, 14.940001
1713291531421, -4.5610504, 4.6800003, 14.401951
1713291531427, -5.8180504, 4.58895, 14.689051
1713291531432, -5.3700004, 4.04505, 13.159051
1713291531502, -2.157, 4.3230004, 7.2840004
1713291531510, 1.182, 5.8240504, 0.24900001
1713291531516, 2.3029501, 6.9640503, -4.4830503
1713291531522, 0.62205005, 8.154, -7.5720005
1713291531559, -0.79905003, 8.72295, -9.286051
1713291531566, -1.21305, 8.439, -8.66895
1713291531571, -1.05795, 7.9930506, -6.0760503
1713291531589, -0.076050006, 7.51905, -5.35305
1713291531662, 0.21000001, 7.1290503, -3.9900002
1713291531670, -0.423, 6.9040504, -2.2810502
1713291531676, -1.6110001, 6.5350504, -0.57105005
1713291531681, -2.0040002, 6.2719502, 1.386
1713291531744, -0.71295005, 6.432, 3.5820003
1713291531755, 0.03795, 6.5520005, 6.1800003
1713291531760, -1.932, 6.9799504, 10.189951
1713291531764, -3.519, 7.38, 13.983001
